ds,yhat
2024-10-01,30811.795430545208
2024-10-02,31984.316530885742
2024-10-03,32982.87808288201
2024-10-04,30961.89443713073
2024-10-05,29600.735609363346
2024-10-06,28856.8434683993
2024-10-07,28797.40718412872
2024-10-08,30524.81639367028
2024-10-09,31908.519278255364
2024-10-10,32919.07910532471
2024-10-11,31048.46886002458
2024-10-12,29780.32009348355
2024-10-13,29085.744979149113
2024-10-14,29030.5165549369
2024-10-15,30646.843435661674
2024-10-16,31941.511870520837
2024-10-17,32887.03459751226
2024-10-18,31136.82738851277
2024-10-19,29950.303047093043
2024-10-20,29300.43413272418
2024-10-21,29248.76050122139
2024-10-22,30761.053123673475
2024-10-23,31972.390717328257
2024-10-24,32857.05523257044
2024-10-25,31219.49944828087
2024-10-26,30109.34529702848
2024-10-27,29501.304949361187
2024-10-28,29452.95727159428
2024-10-29,30867.911751827323
2024-10-30,32001.282059775192
